label_name,label,image_path,class,class_name
reals,0,templates/Images/reals/alb_id_00.jpg,0,alb
reals,0,templates/Images/reals/alb_id_27.jpg,0,alb
reals,0,templates/Images/reals/alb_id_36.jpg,0,alb
reals,0,templates/Images/reals/alb_id_07.jpg,0,alb
reals,0,templates/Images/reals/alb_id_90.jpg,0,alb
reals,0,templates/Images/reals/alb_id_39.jpg,0,alb
reals,0,templates/Images/reals/alb_id_31.jpg,0,alb
reals,0,templates/Images/reals/alb_id_48.jpg,0,alb
reals,0,templates/Images/reals/alb_id_46.jpg,0,alb
reals,0,templates/Images/reals/alb_id_85.jpg,0,alb
reals,0,templates/Images/reals/alb_id_73.jpg,0,alb
reals,0,templates/Images/reals/alb_id_50.jpg,0,alb
reals,0,templates/Images/reals/alb_id_98.jpg,0,alb
reals,0,templates/Images/reals/alb_id_45.jpg,0,alb
reals,0,templates/Images/reals/alb_id_15.jpg,0,alb
reals,0,templates/Images/reals/alb_id_89.jpg,0,alb
reals,0,templates/Images/reals/alb_id_51.jpg,0,alb
reals,0,templates/Images/reals/alb_id_49.jpg,0,alb
reals,0,templates/Images/reals/alb_id_33.jpg,0,alb
reals,0,templates/Images/reals/alb_id_84.jpg,0,alb
reals,0,templates/Images/reals/alb_id_80.jpg,0,alb
reals,0,templates/Images/reals/alb_id_17.jpg,0,alb
reals,0,templates/Images/reals/alb_id_54.jpg,0,alb
reals,0,templates/Images/reals/alb_id_64.jpg,0,alb
reals,0,templates/Images/reals/alb_id_94.jpg,0,alb
reals,0,templates/Images/reals/alb_id_06.jpg,0,alb
reals,0,templates/Images/reals/alb_id_19.jpg,0,alb
reals,0,templates/Images/reals/alb_id_02.jpg,0,alb
reals,0,templates/Images/reals/alb_id_20.jpg,0,alb
reals,0,templates/Images/reals/alb_id_10.jpg,0,alb
reals,0,templates/Images/reals/alb_id_70.jpg,0,alb
reals,0,templates/Images/reals/alb_id_71.jpg,0,alb
reals,0,templates/Images/reals/alb_id_58.jpg,0,alb
reals,0,templates/Images/reals/alb_id_44.jpg,0,alb
reals,0,templates/Images/reals/alb_id_03.jpg,0,alb
reals,0,templates/Images/reals/alb_id_09.jpg,0,alb
reals,0,templates/Images/reals/alb_id_29.jpg,0,alb
